source_concept_id,source_label,target_uri,target_label,relation,confidence,source_url,source_version
p2ft_pH3_zT1,Kulturgeograf,http://data.europa.eu/esco/occupation/bac64fa2-dcd6-47bb-8e5c-04e04a86a199,geograf,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
p2tN_r4a_VPK,Koreograf,http://data.europa.eu/esco/occupation/06ac0f53-431e-4bc6-acb8-2f5da041b5d3,dansrepetitör,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
p2tN_r4a_VPK,Koreograf,http://data.europa.eu/esco/occupation/189a337d-f6fb-44e2-9e7a-bc27b7b76e0e,koreograf,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
p65e_YPU_LoH,Teleingenjör,http://data.europa.eu/esco/occupation/d84bf1d7-ef99-40c4-a407-3791d6531b44,teleingenjör,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
p6Y5_8hP_oFD,Reklamdesigner,http://data.europa.eu/esco/occupation/d5a43cd3-230e-46d0-ba05-d67d61e5cfbb,mediedesigner,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
p8fz_GGb_BFC,"Installationsingenjör, bygg och anläggning",http://data.europa.eu/esco/occupation/58c30193-d29f-4d22-8bf0-fd87346b91dd,installationsingenjör,exact-match,high,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
p96L_aTJ_kkG,Utbildningskoordinator,http://data.europa.eu/esco/occupation/0ba06640-e0ac-4911-9e43-289a8e41651e,affärscoach,narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
p96L_aTJ_kkG,Utbildningskoordinator,http://data.europa.eu/esco/occupation/a14e96a7-6c4d-4d69-8c6f-7ccadf77bac5,"utbildningsplanerare, företag",narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
pBhS_6fg_727,"Butikssäljare, dagligvaror/Medarbetare, dagligvaror",http://data.europa.eu/esco/occupation/062d666b-8b5f-4ff2-9047-113831eb3e9f,"specialiserad säljare, fisk och skaldjur",narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
pBhS_6fg_727,"Butikssäljare, dagligvaror/Medarbetare, dagligvaror",http://data.europa.eu/esco/occupation/0b15375e-dfdd-4047-9efb-096e0aaee7d2,butikssäljare,broad-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
pBhS_6fg_727,"Butikssäljare, dagligvaror/Medarbetare, dagligvaror",http://data.europa.eu/esco/occupation/2e9c9404-0d86-453c-9001-3a0cd1d1323b,"specialiserad säljare, bageri",narrow-match,low,https://taxonomy.api.jobtechdev.se/v1/taxonomy/graphql,30
